City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hammerfest,70.6634,23.6821,1.25,93,75,13.38,NO,1700157789
83,thompson,55.7435,-97.8558,-6.91,79,100,4.12,CA,1700157713
84,cockburn town,21.4612,-71.1419,27.92,75,92,10.13,TC,1700157753
85,tanout,14.9709,8.8879,26.44,28,100,5.99,NE,1700157976
86,bilibino,68.0546,166.4372,-19.74,99,100,0.34,RU,1700157976
87,alofi,-19.0595,-169.9187,24.94,94,98,3.6,NU,1700157976
88,san patricio,28.017,-97.5169,20.92,78,84,2.1,US,1700157976
89,calatayud,41.3535,-1.6432,17.6,72,32,2.93,ES,1700157976
90,duncan,34.5023,-97.9578,18.12,67,0,7.2,US,1700157916
91,ravar,31.2656,56.8055,17.67,44,30,1.88,IR,1700157977
92,valley city,46.9233,-98.0032,4.29,65,40,10.29,US,1700157977
93,sioux center,43.0797,-96.1756,16.1,75,75,2.68,US,1700157977
94,aasiaat,68.7098,-52.8699,-11.11,96,98,2.35,GL,1700157828
95,sisimiut,66.9395,-53.6735,-6.65,82,49,3.97,GL,1700157977
96,midoun,33.8081,10.9923,20.92,63,2,2.1,TN,1700157977
97,bikenibeu village,1.3673,173.1241,27.98,83,40,1.54,KI,1700157978
98,georgetown,5.4112,100.3354,27.79,92,20,2.06,MY,1700157978
99,uryupinsk,50.8047,42.0138,3.12,78,96,3.06,RU,1700157978
100,blackmans bay,-43.0167,147.3167,8.07,84,46,2.77,AU,1700157978
101,badger,64.8,-147.5333,-8.13,89,100,2.06,US,1700157819
102,wagoner,35.9595,-95.3694,17.25,87,62,6.47,US,1700157979
103,port alfred,-33.5906,26.891,19.54,90,85,2.24,ZA,1700157979
104,rabaul,-4.1967,152.1721,25.8,77,7,5.5,PG,1700157979
105,vadso,70.0744,29.7487,-3.91,74,40,4.63,NO,1700157979
106,zouerate,22.7187,-12.4521,27.56,13,0,5.04,MR,1700157980
107,acarau,-2.8856,-40.12,30.8,57,4,8.93,BR,1700157980
108,gadzhiyevo,69.2551,33.3362,-7.37,92,81,6.14,RU,1700157980
109,port mathurin,-19.6833,63.4167,25.7,77,65,7.37,MU,1700157980
110,quellon,-43.1167,-73.6167,11.0,94,100,7.61,CL,1700157980
111,fort mcmurray,56.7268,-111.381,-6.23,79,0,4.12,CA,1700157981
112,whitehorse,60.7161,-135.0538,0.43,64,20,5.14,CA,1700157714
113,iskateley,67.6803,53.1512,-8.88,96,100,2.68,RU,1700157981
114,santiago,-33.4569,-70.6483,24.63,33,0,4.12,CL,1700157370
115,prince albert,53.2001,-105.7677,-4.03,80,75,5.66,CA,1700157981
116,gao,16.6362,1.637,28.67,14,0,5.28,ML,1700157981
